ItemId;Matches with reference;Matches without reference;Partial matches with reference;Partial matches without reference;Mismatches with reference;Mismatches without reference;Matches;Partials;Mismatches;Partials/Partials+Mismatches;;;;
Q976;0;0;0;0;1;0;0;0;1;0;;;;
Q977;0;0;0;0;1;0;0;0;1;0;;;;
Q980;0;0;0;0;1;0;0;0;1;0;;;;
Q983;0;0;0;0;1;0;0;0;1;0;;;;
Q985;0;0;0;0;1;0;0;0;1;0;;;;
Q986;0;0;0;0;1;0;0;0;1;0;;;;
Q988;0;0;0;0;1;0;0;0;1;0;;;;
Q994;0;0;0;0;1;0;0;0;1;0;;;;
Q1000;0;0;0;0;1;0;0;0;1;0;;;;
Q1007;1;0;0;0;0;0;1;0;0;0;;;;
Q1008;0;0;0;0;1;0;0;0;1;0;;;;
Q1009;0;0;0;0;1;0;0;0;1;0;;;;
Q1012;0;0;0;0;1;0;0;0;1;0;;;;
Q1013;0;0;0;0;1;0;0;0;1;0;;;;
Q1014;0;0;0;0;1;0;0;0;1;0;;;;
Q1016;0;0;0;0;1;0;0;0;1;0;;;;
Q1018;0;0;0;0;1;0;0;0;1;0;;;;
Q1019;1;0;0;0;0;0;1;0;0;0;;;;
Q1020;0;0;0;0;1;0;0;0;1;0;;;;
Q1021;0;0;0;0;1;0;0;0;1;0;;;;
Q1022;0;0;0;0;1;0;0;0;1;0;;;;
Q1025;0;0;0;0;1;0;0;0;1;0;;;;
Q1027;0;0;0;0;1;0;0;0;1;0;;;;
Q1028;0;0;0;0;1;0;0;0;1;0;;;;
Q1029;0;0;0;0;1;0;0;0;1;0;;;;
Q1030;0;0;0;0;0;1;0;0;1;0;;;;
Q1032;0;0;0;0;0;1;0;0;1;0;;;;
Q1036;0;0;0;0;1;0;0;0;1;0;;;;
Q1037;0;0;0;0;1;0;0;0;1;0;;;;
Q1039;0;0;0;0;1;0;0;0;1;0;;;;
Q1040;0;0;0;0;1;0;0;0;1;0;;;;
Q1041;0;0;0;0;1;0;0;0;1;0;;;;
Q1042;0;0;0;0;1;0;0;0;1;0;;;;
Q1044;0;0;0;0;1;0;0;0;1;0;;;;
Q1045;0;0;0;0;1;0;0;0;1;0;;;;
Q1049;0;0;0;0;1;0;0;0;1;0;;;;
Q1050;0;0;0;0;1;0;0;0;1;0;;;;
Q1055;0;0;0;0;1;0;0;0;1;0;;;;
Q1061;0;0;0;0;1;0;0;0;1;0;;;;
Q1070;0;0;0;0;1;0;0;0;1;0;;;;
Q1083;0;0;0;0;1;0;0;0;1;0;;;;
Q1085;0;0;0;0;1;0;0;0;1;0;;;;
Q1093;0;0;0;0;1;0;0;0;1;0;;;;
Q1101;0;0;0;0;1;0;0;0;1;0;;;;
Q1104;0;0;0;0;1;0;0;0;1;0;;;;
Q1130;0;0;0;0;1;0;0;0;1;0;;;;
Q1132;0;0;0;0;1;0;0;0;1;0;;;;
Q1148;1;0;0;0;0;0;1;0;0;0;;;;
Q1153;0;0;0;0;1;0;0;0;1;0;;;;
Q1154;0;0;0;0;1;0;0;0;1;0;;;;
Q1156;0;0;0;0;1;0;0;0;1;0;;;;
Q1159;0;0;0;0;0;1;0;0;1;0;;;;
Q1162;0;0;0;0;1;0;0;0;1;0;;;;
Q1163;0;0;0;0;1;0;0;0;1;0;;;;
Q1164;0;0;0;0;1;0;0;0;1;0;;;;
Q1165;0;0;0;0;1;0;0;0;1;0;;;;
Q1166;0;0;0;0;1;0;0;0;1;0;;;;
Q1167;0;0;0;0;1;0;0;0;1;0;;;;
Q1168;0;0;0;0;1;0;0;0;1;0;;;;
Q1171;0;0;0;0;1;0;0;0;1;0;;;;
Q1174;0;0;0;0;1;0;0;0;1;0;;;;
Q1177;0;0;0;0;1;0;0;0;1;0;;;;
Q1179;0;0;0;0;1;0;0;0;1;0;;;;
Q1180;0;0;0;0;1;0;0;0;1;0;;;;
Q1184;0;0;0;0;1;0;0;0;1;0;;;;
Q1185;0;0;0;0;1;0;0;0;1;0;;;;
Q1186;0;0;0;0;1;0;0;0;1;0;;;;
Q1188;0;0;0;0;1;0;0;0;1;0;;;;
Q1190;0;0;0;0;1;0;0;0;1;0;;;;
Q1191;0;0;0;0;1;0;0;0;1;0;;;;
Q1193;0;0;0;0;1;0;0;0;1;0;;;;
Q1194;0;0;0;0;1;0;0;0;1;0;;;;
Q1195;0;0;0;0;1;0;0;0;1;0;;;;
Q1196;0;0;0;0;1;0;0;0;1;0;;;;
Q1197;0;0;0;0;1;0;0;0;1;0;;;;
Q1198;0;0;0;0;1;0;0;0;1;0;;;;
Q1199;0;0;0;0;1;0;0;0;1;0;;;;
Q1200;0;0;0;0;1;0;0;0;1;0;;;;
Q1201;0;0;0;0;1;0;0;0;1;0;;;;
Q1202;0;0;0;0;1;0;0;0;1;0;;;;
Q1204;0;0;0;0;1;0;0;0;1;0;;;;
Q1205;0;0;0;0;1;0;0;0;1;0;;;;
Q1207;0;0;0;0;1;0;0;0;1;0;;;;
Q1208;0;0;0;0;1;0;0;0;1;0;;;;
Q1209;0;0;0;0;1;0;0;0;1;0;;;;
Q1210;0;0;0;0;1;0;0;0;1;0;;;;
Q1211;0;0;0;0;1;0;0;0;1;0;;;;
Q1212;0;0;0;0;1;0;0;0;1;0;;;;
Q1214;0;0;0;0;1;0;0;0;1;0;;;;
Q1216;0;0;0;0;1;0;0;0;1;0;;;;
Q1218;0;0;0;0;1;0;0;0;1;0;;;;
Q1221;0;0;0;0;1;0;0;0;1;0;;;;
Q1223;0;0;0;0;0;1;0;0;1;0;;;;
Q1227;0;0;0;0;1;0;0;0;1;0;;;;
Q1243;0;0;0;0;1;0;0;0;1;0;;;;
Q1256;0;0;0;0;1;0;0;0;1;0;;;;
Q1261;0;0;0;0;1;0;0;0;1;0;;;;
Q1263;1;0;0;0;0;0;1;0;0;0;;;;
Q1273;0;0;0;0;1;0;0;0;1;0;;;;
Q1279;0;0;0;0;1;0;0;0;1;0;;;;
Q1280;0;0;0;0;1;0;0;0;1;0;;;;
Q1282;0;0;0;0;1;0;0;0;1;0;;;;
Q1289;0;0;0;0;1;0;0;0;1;0;;;;
Q1291;0;0;0;0;1;0;0;0;1;0;;;;
Q1295;0;0;0;0;1;0;0;0;1;0;;;;
Q1296;0;0;0;0;1;0;0;0;1;0;;;;
Q1297;0;0;0;0;1;0;0;0;1;0;;;;
Q1305;0;0;0;0;1;0;0;0;1;0;;;;
Q1308;0;0;0;0;1;0;0;0;1;0;;;;
Q1309;0;0;0;0;1;0;0;0;1;0;;;;
Q1310;0;0;0;0;1;0;0;0;1;0;;;;
Q1335;0;0;0;0;1;0;0;0;1;0;;;;
Q1341;0;0;0;0;1;0;0;0;1;0;;;;
Q1342;0;0;0;0;1;0;0;0;1;0;;;;
Q1348;0;0;0;0;1;0;0;0;1;0;;;;
Q1353;0;0;0;0;1;0;0;0;1;0;;;;
Q1354;0;0;0;0;1;0;0;0;1;0;;;;
Q1355;0;0;0;0;1;0;0;0;1;0;;;;
Q1356;0;0;0;0;1;0;0;0;1;0;;;;
Q1362;0;0;0;0;1;0;0;0;1;0;;;;
Q1363;0;0;0;0;1;0;0;0;1;0;;;;
Q1370;0;0;0;0;1;0;0;0;1;0;;;;
Q1371;0;0;0;0;1;0;0;0;1;0;;;;
Q1382;0;0;0;0;1;0;0;0;1;0;;;;
Q1384;0;0;0;0;0;1;0;0;1;0;;;;
Q1391;0;0;0;0;1;0;0;0;1;0;;;;
Q1393;0;0;0;0;1;0;0;0;1;0;;;;
Q1400;0;0;0;0;1;0;0;0;1;0;;;;
Q1404;0;0;0;0;1;0;0;0;1;0;;;;
Q1408;0;0;0;0;1;0;0;0;1;0;;;;
Q1410;0;0;0;0;1;0;0;0;1;0;;;;
Q1415;0;0;0;0;1;0;0;0;1;0;;;;
Q1428;0;0;0;0;1;0;0;0;1;0;;;;
Q1432;0;0;0;0;1;0;0;0;1;0;;;;
Q1435;0;0;0;0;1;0;0;0;1;0;;;;
Q1437;0;0;0;0;1;0;0;0;1;0;;;;
Q1439;0;0;0;0;1;0;0;0;1;0;;;;
Q1443;0;0;0;0;1;0;0;0;1;0;;;;
Q1445;0;0;0;0;1;0;0;0;1;0;;;;
Q1447;0;0;0;0;1;0;0;0;1;0;;;;
Q1449;0;0;0;0;1;0;0;0;1;0;;;;
Q1452;1;0;0;0;0;0;1;0;0;0;;;;
Q1454;0;0;0;0;1;0;0;0;1;0;;;;
Q1456;0;0;0;0;1;0;0;0;1;0;;;;
Q1458;1;0;0;0;0;0;1;0;0;0;;;;
Q1461;0;0;0;0;1;0;0;0;1;0;;;;
Q1462;1;0;0;0;0;0;1;0;0;0;;;;
Q1468;0;0;0;0;1;0;0;0;1;0;;;;
Q1476;0;0;0;0;1;0;0;0;1;0;;;;
Q1479;0;0;0;0;1;0;0;0;1;0;;;;
Q1486;0;0;0;0;1;0;0;0;1;0;;;;
Q1490;0;0;0;0;1;0;0;0;1;0;;;;
Q1491;0;0;0;0;1;0;0;0;1;0;;;;
Q1492;0;0;0;0;1;0;0;0;1;0;;;;
Q1494;0;0;0;0;1;0;0;0;1;0;;;;
Q1499;0;0;0;0;1;0;0;0;1;0;;;;
Q1502;0;0;0;0;1;0;0;0;1;0;;;;
Q1509;0;0;0;0;1;0;0;0;1;0;;;;
Q1513;0;0;0;0;1;0;0;0;1;0;;;;
Q1515;0;0;0;0;1;0;0;0;1;0;;;;
Q1520;0;0;0;0;1;0;0;0;1;0;;;;
Q1522;0;0;0;0;1;0;0;0;1;0;;;;
Q1524;0;0;0;0;1;0;0;0;1;0;;;;
Q1527;0;0;0;0;1;0;0;0;1;0;;;;
Q1530;0;0;0;0;1;0;0;0;1;0;;;;
Q1533;0;0;0;0;1;0;0;0;1;0;;;;
Q1537;0;0;0;0;1;0;0;0;1;0;;;;
Q1538;0;0;0;0;1;0;0;0;1;0;;;;
Q1546;0;0;0;0;1;0;0;0;1;0;;;;
Q1553;0;0;0;0;1;0;0;0;1;0;;;;
Q1558;0;0;0;0;1;0;0;0;1;0;;;;
Q1560;0;0;0;0;1;0;0;0;1;0;;;;
Q1563;0;0;0;0;1;0;0;0;1;0;;;;
Q1565;0;0;0;0;1;0;0;0;1;0;;;;
Q1581;0;0;0;0;1;0;0;0;1;0;;;;
Q1584;0;0;0;0;1;0;0;0;1;0;;;;
Q1588;0;0;0;0;1;0;0;0;1;0;;;;
Q1593;0;0;0;0;1;0;0;0;1;0;;;;
Q1597;0;0;0;0;1;0;0;0;1;0;;;;
Q1598;0;0;0;0;1;0;0;0;1;0;;;;
Q1599;0;0;0;0;1;0;0;0;1;0;;;;
Q1600;0;0;0;0;1;0;0;0;1;0;;;;
Q1601;0;0;0;0;1;0;0;0;1;0;;;;
Q1603;0;0;0;0;1;0;0;0;1;0;;;;
Q1608;0;0;0;0;1;0;0;0;1;0;;;;
Q1612;0;0;0;0;1;0;0;0;1;0;;;;
Q1616;0;0;0;0;1;0;0;0;1;0;;;;
Q1619;0;0;0;0;1;0;0;0;1;0;;;;
Q1626;0;0;0;0;1;0;0;0;1;0;;;;
Q1640;0;0;0;0;1;0;0;0;1;0;;;;
Q1645;0;0;0;0;1;0;0;0;1;0;;;;
Q1647;0;0;0;0;1;0;0;0;1;0;;;;
Q1649;0;0;0;0;1;0;0;0;1;0;;;;
Q1663;0;0;0;0;1;0;0;0;1;0;;;;
Q1709;0;0;0;0;1;0;0;0;1;0;;;;
Q1711;0;0;0;0;1;0;0;0;1;0;;;;
Q1718;0;0;0;0;1;0;0;0;1;0;;;;
Q1720;0;0;0;0;1;0;0;0;1;0;;;;
Q1721;0;0;0;0;1;0;0;0;1;0;;;;
Q1722;0;0;0;0;1;0;0;0;1;0;;;;
Q1724;0;0;0;0;1;0;0;0;1;0;;;;
Q1726;0;0;0;0;1;0;0;0;1;0;;;;
Q1729;0;0;0;0;1;0;0;0;1;0;;;;
Q1731;0;0;0;0;1;0;0;0;1;0;;;;
Q1733;0;0;0;0;1;0;0;0;1;0;;;;
Q1737;0;0;0;0;1;0;0;0;1;0;;;;
Q1741;0;0;0;0;1;0;0;0;1;0;;;;
Q1748;0;0;0;0;1;0;0;0;1;0;;;;
Q1754;0;0;0;0;1;0;0;0;1;0;;;;
Q1757;0;0;0;0;1;0;0;0;1;0;;;;
Q1761;0;0;0;0;1;0;0;0;1;0;;;;
Q1763;0;0;0;0;1;0;0;0;1;0;;;;
Q1770;0;0;0;0;1;0;0;0;1;0;;;;
Q1773;0;0;0;0;1;0;0;0;1;0;;;;
Q1774;0;0;0;0;1;0;0;0;1;0;;;;
Q1780;0;0;0;0;1;0;0;0;1;0;;;;
Q1781;0;0;0;0;1;0;0;0;1;0;;;;
Q1792;0;0;0;0;1;0;0;0;1;0;;;;
Q1794;0;0;0;0;1;0;0;0;1;0;;;;
Q1799;0;0;0;0;1;0;0;0;1;0;;;;
Q1800;0;0;0;0;1;0;0;0;1;0;;;;
Q1807;0;0;0;0;1;0;0;0;1;0;;;;
Q1813;0;0;0;0;1;0;0;0;1;0;;;;
Q1818;0;0;0;0;1;0;0;0;1;0;;;;
