ItemId;Matches with reference;Matches without reference;Partial matches with reference;Partial matches without reference;Mismatches with reference;Mismatches without reference;Matches;Partials;Mismatches;Partials/Partials+Mismatches
Q1333250;1;0;0;0;0;0;1;0;0;0
Q1342020;0;0;1;0;0;0;0;1;0;1,0
Q1394222;0;0;0;0;1;0;0;0;1;0
Q1396930;0;0;0;0;1;0;0;0;1;0
Q1451320;0;0;0;0;1;0;0;0;1;0
Q1482719;0;0;1;0;0;0;0;1;0;1,0
Q1485491;0;0;0;0;1;0;0;0;1;0
Q1496293;0;0;1;0;0;0;0;1;0;1,0
Q1507955;0;0;0;0;1;0;0;0;1;0
Q1521199;0;0;1;0;0;0;0;1;0;1,0
Q1534523;0;0;1;0;0;0;0;1;0;1,0
Q1536820;0;0;1;0;0;0;0;1;0;1,0
Q1546774;0;0;1;0;0;0;0;1;0;1,0
Q1555822;0;0;1;0;0;0;0;1;0;1,0
Q1593631;1;0;0;0;0;0;1;0;0;0
Q1601687;0;0;0;0;1;0;0;0;1;0
Q1607927;0;0;1;0;0;0;0;1;0;1,0
Q1613655;0;0;1;0;0;0;0;1;0;1,0
Q1615362;0;0;0;0;1;0;0;0;1;0
Q1617039;0;0;0;0;1;0;0;0;1;0
Q1673096;0;0;1;0;0;0;0;1;0;1,0
Q1714424;0;0;0;0;1;0;0;0;1;0
Q1734413;0;0;0;0;1;0;0;0;1;0
Q1742394;0;0;0;0;1;0;0;0;1;0
Q1760962;0;0;0;0;1;0;0;0;1;0
Q1774330;0;0;0;0;1;0;0;0;1;0
Q1779225;0;0;0;0;1;0;0;0;1;0
Q1807348;0;0;0;0;1;0;0;0;1;0
Q1810148;0;0;1;0;0;0;0;1;0;1,0
Q1900390;0;0;0;0;1;0;0;0;1;0
Q1926186;0;0;0;0;1;0;0;0;1;0
Q1941746;0;0;0;0;0;1;0;0;1;0
Q1946953;0;0;0;0;0;1;0;0;1;0
Q1972764;0;0;0;0;1;0;0;0;1;0
Q2012293;0;0;1;0;0;0;0;1;0;1,0
Q2116037;0;0;1;0;0;0;0;1;0;1,0
Q2120815;0;0;0;0;1;0;0;0;1;0
Q2169017;1;0;0;0;0;0;1;0;0;0
Q2251448;0;0;0;0;1;0;0;0;1;0
Q2319835;0;0;0;0;1;0;0;0;1;0
Q2402303;0;0;0;0;1;0;0;0;1;0
Q2497784;0;0;0;0;1;0;0;0;1;0
Q2532585;0;0;0;0;1;0;0;0;1;0
Q3112535;0;0;1;0;0;0;0;1;0;1,0
Q3776651;0;0;0;0;1;0;0;0;1;0
Q6404098;1;0;0;0;0;0;1;0;0;0
Q10854876;0;0;1;0;0;0;0;1;0;1,0
Q15853456;0;0;0;0;1;0;0;0;1;0
